"","Country","Cowcode","Year","Independent.Country","EthFrac"
"1","United States of America",2,1945,1,0.220441895435215
"2","United States of America",2,1946,1,0.222632348754762
"3","United States of America",2,1947,1,0.224870072063533
"4","United States of America",2,1948,1,0.227156094958092
"5","United States of America",2,1949,1,0.2294917727768
"6","United States of America",2,1950,1,0.231878094866312
"7","United States of America",2,1951,1,0.234316887656136
"8","United States of America",2,1952,1,0.236808738437137
"9","United States of America",2,1953,1,0.239355418881054
"10","United States of America",2,1954,1,0.241957983569108
"11","United States of America",2,1955,1,0.244617969574979
"12","United States of America",2,1956,1,0.247336533779229
"13","United States of America",2,1957,1,0.250114971182126
"14","United States of America",2,1958,1,0.252954878733379
"15","United States of America",2,1959,1,0.255857494663515
"16","United States of America",2,1960,1,0.258824166023781
"17","United States of America",2,1961,1,0.26185619713409
"18","United States of America",2,1962,1,0.26495503443073
"19","United States of America",2,1963,1,0.268122037293138
"20","United States of America",2,1964,1,0.271358742747812
"21","United States of America",2,1965,1,0.274666252880815
"22","United States of America",2,1966,1,0.278045785949972
"23","United States of America",2,1967,1,0.281499214477898
"24","United States of America",2,1968,1,0.285027317967353
"25","United States of America",2,1969,1,0.288631633141858
"26","United States of America",2,1970,1,0.292313477551716
"27","United States of America",2,1971,1,0.296073621528115
"28","United States of America",2,1972,1,0.299914048054471
"29","United States of America",2,1973,1,0.303835069405285
"30","United States of America",2,1974,1,0.307838339134421
"31","United States of America",2,1975,1,0.311924811472108
"32","United States of America",2,1976,1,0.316095171284243
"33","United States of America",2,1977,1,0.320350704936152
"34","United States of America",2,1978,1,0.324691892501679
"35","United States of America",2,1979,1,0.329119849173464
"36","United States of America",2,1980,1,0.333635043997713
"37","United States of America",2,1981,1,0.338238017190767
"38","United States of America",2,1982,1,0.342929392035277
"39","United States of America",2,1983,1,0.347709177797341
"40","United States of America",2,1984,1,0.352578063785022
"41","United States of America",2,1985,1,0.357535853475783
"42","United States of America",2,1986,1,0.362582724105978
"43","United States of America",2,1987,1,0.36771817519403
"44","United States of America",2,1988,1,0.372942002293685
"45","United States of America",2,1989,1,0.378253834135745
"46","United States of America",2,1990,1,0.383652834321511
"47","United States of America",2,1991,1,0.389138258943373
"48","United States of America",2,1992,1,0.394709011856508
"49","United States of America",2,1993,1,0.400363576709306
"50","United States of America",2,1994,1,0.406100672134181
"51","United States of America",2,1995,1,0.411918497548569
"52","United States of America",2,1996,1,0.417815344572466
"53","United States of America",2,1997,1,0.4237887324799
"54","United States of America",2,1998,1,0.429836232827342
"55","United States of America",2,1999,1,0.4359554459556
"56","United States of America",2,2000,1,0.442143192783394
"57","United States of America",2,2001,1,0.448396436026664
