"","year","cow_code","n_attacks","party_banVD","oilHM","popHM","polity2","ccode","ccodealp","code_wb","dd_cga","ht_region","country_name","civtot","ethviol","banethnic","banrelig","bansys","banall","govstruct","elecSystem","partybanIEP","elecleg","elecexec","unitary","PRsystem","Independent.Country","NewEthFrac","fd_n_attacks","d_civtot","lnoilcap","lnpop","partybanUni"
"1",1970,2,110,0,29.63186,205100000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.292313477551716,NA,0,1.44475172491723e-07,19.1390082230426,0
"2",1971,2,106,0,39.00133,207700000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.296073621528115,-4,0,1.87777209248652e-07,19.1516052888463,0
"3",1972,2,34,0,38.06296,209900000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.299914048054471,-72,0,1.81338525740443e-07,19.1621417847909,0
"4",1973,2,35,0,36.33941,211900000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.303835069405285,1,0,1.71493189599027e-07,19.1716250232385,0
"5",1974,2,45,0,35.29984,213900000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.307838339134421,10,0,1.65029626336184e-07,19.1810191740526,0
"6",1975,2,73,0,34.24996,2.16e+08,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.311924811472108,28,0,1.58564617077325e-07,19.1907889656484,0
"7",1976,2,48,0,32.68213,2.18e+08,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.316095171284243,-25,0,1.49918016310007e-07,19.2000056207534,0
"8",1977,2,68,0,30.94217,220200000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.320350704936152,20,0,1.4051847342094e-07,19.2100467822529,0
"9",1978,2,36,0,29.4864,222600000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.324691892501679,-32,0,1.32463603083844e-07,19.2208869968057,0
"10",1979,2,19,0,27.80376,225100000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.329119849173464,-17,0,1.23517362481468e-07,19.232055305877,0
"11",1980,2,24,0,27.05129,227200000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.333635043997713,5,0,1.19063769305611e-07,19.2413412448113,0
"12",1981,2,35,0,29.805,229500000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.338238017190767,11,0,1.29869272673906e-07,19.2514135874649,0
