"","year","cow","wbcode","riots","antigov","country_name.x","country_id","country_abb.x","party_banVD","oilHM","popHM","polity2","ccode","country_name.y","ccodealp","code_wb","dd_cga","ht_region","country_name","country_abb.y","banethnic","banrelig","bansys","banall","govstruct","elecSystem","partybanIEP","elecleg","elecexec","unitary","PRsystem","NewEthFrac","partybanUni"
"1",1960,2,"USA",8,22,"United States",20,"USA",0,31.71935,180700000,10,840,"United States","USA",840,1,5,"United States of America","USA","0","0","0","0","3","1",0,"1","1",0,0,0.258824166023781,0
"2",1960,20,"CAN",0,0,"Canada",66,"CAN",0,4.59,17909009,10,124,"Canada","CAN",124,1,5,"Canada","CAN","0","0","0","0","3","2",0,"1","0",0,0,0.681918350643566,0
"3",1960,40,"CUB",4,3,"Cuba",155,"CUB",1,0.0026,7141009,-4,192,"Cuba","CUB",192,0,2,"Cuba","CUB","0","0","0","1","1",".a",1,"1","1",1,NA,0.450576965059309,1
"4",1960,41,"HTI",0,0,"Haiti",26,"HTI",1,0,3869490,-8,332,"Haiti","HTI",332,0,2,"Haiti","HAI","0","0","0","1","1","1",1,"1","1",1,0,0.10798295172093,1
"5",1960,42,"DOM",1,0,"Dominican Republic",114,"DOM",1,0,3348958,-9,214,"Dominican Republic","DOM",214,0,2,"Dominican Republic","DOM","0","0","0","1","1","3",1,"1","1",1,1,0.40540244315522,1
"6",1960,70,"MEX",2,0,"Mexico",3,"MEX",0,2.5,37910000,-6,484,"Mexico","MEX",484,0,2,"Mexico","MEX","0","0","0","0","3","2",0,"1","1",0,0,0.53899136984689,0
"7",1960,90,"GTM",2,3,"Guatemala",78,"GTM",1,0,4139998,-5,320,"Guatemala","GTM",320,1,2,"Guatemala","GUA","0","0","1","0","1","4",1,"1","1",1,1,0.598068520494405,1
"8",1960,91,"HND",0,0,"Honduras",27,"HND",1,0,2003000,-1,340,"Honduras","HND",340,1,2,"Honduras","HON","0","0","1","0","1","4",1,"1","1",1,1,0.153473901117213,1
"9",1960,92,"SLV",0,0,"El Salvador",22,"SLV",1,0,2578374,-3,222,"El Salvador","SLV",222,0,2,"El Salvador","SAL","0","0","1","0","1","2",1,"1","1",1,0,0.196745192112743,1
"10",1960,93,"NIC",0,0,"Nicaragua",59,"NIC",1,0,1763779,-8,558,"Nicaragua","NIC",558,0,2,"Nicaragua","NIC","0","0","1","0","1","3",1,"1","1",1,1,0.464723595449755,1
