"","year","cow_code","n_riots","country_name","party_banVD","oilHM","popHM","polity2","ccode","ccodealp","code_wb","dd_cga","ht_region","banethnic","banrelig","bansys","banall","govstruct","elecSystem","partybanIEP","elecleg","elecexec","unitary","PRsystem","NewEthFrac","partybanUni"
"1",1990,40,0,"Cuba",1,0,10604907,-7,192,"CUB",192,0,2,"0","0","0","1","1","2",1,"1","0",1,0,0.483001935418815,1
"54",1991,40,0,"Cuba",1,0.1,10688916,-7,192,"CUB",192,0,2,"0","0","0","1","1","2",1,"1","0",1,0,0.484514155960391,1
"107",1992,40,3,"Cuba",1,0.1,10760424,-7,192,"CUB",192,0,2,"0","0","0","1","1","2",1,"1","0",1,0,0.48602324493718,1
"160",1993,40,1,"Cuba",1,0.1,10821794,-7,192,"CUB",192,0,2,"0","0","1","0","1","2",1,"1","0",1,0,0.487529316420046,1
"213",1994,40,5,"Cuba",1,0.1,10877253,-7,192,"CUB",192,0,2,"0","0","1","0","1","2",1,"1","0",1,0,0.48903238321427,1
"266",1995,40,0,"Cuba",1,0.1,10929915,-7,192,"CUB",192,0,2,"0","0","1","0","1","2",1,"1","0",1,0,0.490532410115041,1
"319",1996,40,0,"Cuba",1,0.1,10979923,-7,192,"CUB",192,0,2,"0","0","1","0","1","2",1,"1","0",1,0,0.492029500909964,1
"372",1997,40,0,"Cuba",1,0.1,11026029,-7,192,"CUB",192,0,2,"0","0","1","0","1","2",1,"1","0",1,0,0.493523234034367,1
"425",1998,40,0,"Cuba",1,0.255,11068402,-7,192,"CUB",192,0,2,"0","0","1","0","1","2",1,"1","0",1,0,0.495013979952868,1
"478",1999,40,0,"Cuba",1,0.2835,11107081,-7,192,"CUB",192,0,2,"0","0","1","0","1","2",1,"1","0",1,0,0.496501353275052,1
"531",2000,40,0,"Cuba",1,0.2835,11142065,-7,192,"CUB",192,0,2,"0","0","1","0","1","2",1,"1","0",1,0,0.497985709873583,1
"584",2001,40,0,"Cuba",1,0.2835,11173872,-7,192,"CUB",192,0,2,"0","0","1","0","1","2",1,"1","0",1,0,0.499466682603658,1
